username,password,rank
ola,$2a$10$/jqgjDyCWQ99vbQu.CbC0.FPv5xR4PCH67kEZAV2hHaRgOqUnALaq,1000
adeus,$2a$10$oeVIT5fIBZRmz7CvXzHGMOyJTObGcQLnKGPFztq7Szq1gaefaGeb6,1000
isto,$2a$10$MFCoXdiOh2R86UMMkWF.8enIosNKCaI8QXSd60JmpYJvEbNtoZo5y,1000
teste,$2a$10$Kqmeow7gFNOcq6GLAPxgYudu4p6C/uTQ0grUrl4b8WT75VE6jOmRK,1000
antonio,$2a$10$0GIfdzb8rA00fFw9wQKvJeh9oqMN.u6uenv0PLS5sJUTsFJhpi2Zu,600
aa,$2a$10$cAwVUxo1cIcrJ5oUuHG4.uqs8jknksbCeBIq.nDvs7qg4iFY24fem,1000
test,$2a$10$qfUdUJXJhhXn/QCPJqr7Tutt4nCY5ZGCWa3VEk.WbLYYWIftupTRK,1000
test1,$2a$10$yLJ1ZC76sJMjN1ZIYzPGeOAKUH1/Jl19.A9brxnpFagUWvnaB./JW,1000
tomasola,$2a$10$l6eQ0kYofURRIbtr5q0Scud3WV9Fhz9cBKpsytHFT0F90L19.tUj2,1000
tomsa,$2a$10$yWM/UYbmoAbcQ30RQ8LAzeSuZcfPAY5coDSfSkiBWXf9VkTb/8ZJS,1000
